db,num_queries,index_time_sec,disk_mb,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,recall_qrels@10,mrr_qrels@10,recall_flat@10
FAISS-HNSW(efS=16),10000,283.18,3199.8,0.208,0.332,,,0.9537,,0.9883
FAISS-HNSW(efS=32),10000,283.18,3199.8,0.306,0.429,,,0.9581,,0.9959
FAISS-HNSW(efS=64),10000,283.18,3199.8,0.507,0.693,,,0.9594,,0.998
FAISS-HNSW(efS=128),10000,283.18,3199.8,0.881,1.231,,,0.9599,,0.9985
FAISS-HNSW(efS=256),10000,283.18,3199.8,1.604,2.265,,,0.96,,0.999
Qdrant(efS=16),10000,701.58,3448.6,5.763,8.139,,,0.9569,,0.9783
Qdrant(efS=32),10000,701.58,3448.6,7.23,10.388,,,0.9594,,0.9906
Qdrant(efS=64),10000,701.58,3448.6,9.1,13.839,,,0.96,,0.9952
Qdrant(efS=128),10000,701.58,3448.6,11.766,15.971,,,0.96,,0.9972
Qdrant(efS=256),10000,701.58,3448.6,17.099,23.32,,,0.9602,,0.9979
pgvector(efS=16),10000,7559.95,8251.5,6.575,11.302,,,0.9546,,0.9907
pgvector(efS=32),10000,7559.95,8251.5,9.029,16.211,,,0.9587,,0.9953
pgvector(efS=64),10000,7559.95,8251.5,12.125,22.156,,,0.9596,,0.9967
FAISS-Flat,1000,12.45,3064.0,68.996,128.357,409.139,88.424,0.9299,0.869,
"Chroma(M=32,efC=200,efS=64)",1000,2046.77,3288.6,5.679,12.458,30.902,6.848,0.9297,0.8696,0.997
"pgvector(m=32,efC=200,efS=128)",500,7559.95,8251.5,3532.116,7083.715,10457.14,3708.321,0.9181,0.8584,0.9986
"pgvector(m=32,efC=200,efS=256)",500,7559.95,8251.5,472.739,1035.462,1504.824,527.005,0.9181,0.8581,0.9984
