size,retriever,recall@1,recall@5,recall@10,mrr@10,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,build_time_s,rss_mb
100000,dense_bruteforce,0.9,0.94,0.95,0.9179,4.31,5.37,5.78,221.0,0.0,809.0
100000,bm25,0.59,0.78,0.84,0.6689,88.17,183.21,260.67,10.1,2.1,1258.0
100000,hybrid_rrf,0.78,0.88,0.96,0.8323,0.04,0.04,0.05,27271.5,0.0,1258.0
100000,reranker_bge_v2_m3,0.91,0.98,0.99,0.9431,2832.98,3778.89,3891.02,0.3,0.0,228.0
300000,dense_bruteforce,0.78,0.91,0.94,0.8379,12.97,14.36,22.34,74.2,0.0,1418.0
300000,bm25,0.53,0.67,0.73,0.5925,268.86,633.92,792.83,3.2,8.4,1190.0
300000,hybrid_rrf,0.69,0.84,0.91,0.7544,0.04,0.06,0.15,22860.4,0.0,1195.0
300000,reranker_bge_v2_m3,0.81,0.93,0.96,0.8672,2650.98,4104.86,5627.18,0.3,0.0,331.0
100000,hnsw_M16_ef64,0.88,0.92,0.93,0.8979,0.2,0.44,0.6,4425.3,11.0,839.0
300000,hnsw_M16_ef64,0.76,0.88,0.91,0.8129,0.23,0.3,0.37,4355.4,44.1,1004.0
